,url,img,bank,loan_name,loan_type,loan_info,required_min_income,required_applicant,required_age,cost_late_fee_penalty
10,https://ringgitplus.com/en/personal-loan/Bank-Islam-Personal-Financing-i-Non-Package.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_BKIS.png,bank_islam,bank_islam_personal_financing-i_non-package,Unsecured Islamic Financing,"{""RM10,000 - RM150,000"": [""12 to 120 months"", ""min. RM42,000"", ""5.5% p.a. - 6.5% p.a.""]}",3500.0,Malaysians | Public Listed Company employee,18 to 60 years old,
11,https://ringgitplus.com/en/personal-loan/Bank-Rakyat-Personal-Financing-i-Private.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_BKRK.png,bank_rakyat,bank_rakyat_personal_financing-i_private,Unsecured Islamic Financing,"{""RM5,000 - RM150,000"": [""12 to 120 months"", ""min. RM24,000"", ""7.97% p.a. - 8.12% p.a.""]}",2000.0,Malaysians | Salaried employee | Selected Public-Listed Company,18 to 60 years old,
12,https://ringgitplus.com/en/personal-loan/Bank-Rakyat-Personal-Financing-i-for-Pensioner.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_BKRK.png,bank_rakyat,bank_rakyat_personal_financing-i_for_pensioner,Unsecured Islamic Financing,"{""RM5,000 - RM100,000"": [""12 to 120 months"", ""min. RM9,600"", ""6.86% p.a.""]}",800.0,Malaysians | Government Pensioner only,45 to 65 years old,
13,https://ringgitplus.com/en/personal-loan/CIMB-Xpress-Cash-Financing-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_CIMB.png,cimb,cimb_xpress_cash_financing-i,Unsecured Islamic Financing,"{""RM3,000 - RM50,000"": [""6 to 60 months"", ""min. RM9,600"", ""18% p.a. - 24% p.a.""]}",800.0,Malaysians | Salaried employee | Self-employed,21 to 60 years old,
14,https://ringgitplus.com/en/personal-loan/CIMB-Cash-Plus-Personal-Loan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_CIMB.png,cimb,cimb_cash_plus_personal_loan,Unsecured Loan,"{""RM2,000 - RM100,000"": [""24 to 60 months"", ""min. RM24,000"", ""6.88% p.a.* - 14.88% p.a.*""]}",2000.0,Malaysians | Salaried employee | Self-employed,21 to 58 years old,
15,https://ringgitplus.com/en/personal-loan/Citibank-Personal-Loan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_CITI.png,citibank,citibank_personal_loan,Unsecured Loan,"{""RM5,000 - RM150,000"": [""24 to 60 months"", ""min. RM48,000"", ""5.88% p.a. - 9.8% p.a.""]}",4000.0,Malaysians | Permanent Residents | Salaried employee | Self-employed,21 to 60 years old,
16,https://ringgitplus.com/en/personal-loan/RHB-Easy-Pinjaman-Ekspres.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_RHBE.png,easy_by_rhb,rhb_easy-pinjaman_ekspres,Unsecured Loan,"{""RM2,000 - RM10,000"": [""12 to 60 months"", ""min. RM18,000"", ""13.45% p.a.""], ""RM11,000 - RM15,000"": [""12 to 84 months"", ""min. RM18,000"", ""13.45% p.a.""], ""RM16,000 - RM50,000"": [""12 to 84 months"", ""min. RM18,000"", ""11.66% p.a.""], ""RM51,000 - RM99,000"": [""12 to 84 months"", ""min. RM18,000"", ""9.91% p.a.""], ""RM100,000 - RM150,000"": [""12 to 84 months"", ""min. RM18,000"", ""8.18% p.a.""]}",1500.0,Any nationality | Private Sector Employee Only,21 to 55 years old,
17,https://ringgitplus.com/en/personal-loan/Emicro-Personal-Loan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_EMIC.png,emicro,emicro_personal_loan,Unsecured Loan,"{""RM500 - RM1,000"": [""1 to 3 months"", ""min. RM18,000"", ""18% p.a.""], ""RM1,001 - RM3,000"": [""1 to 6 months"", ""min. RM24,000"", ""18% p.a.""], ""RM3,001 - RM5,000"": [""1 to 12 months"", ""min. RM36,000"", ""18% p.a.""], ""RM5,001 - RM10,000"": [""1 to 24 months"", ""min. RM48,000"", ""18% p.a.""]}",1500.0,Malaysians,21 to 50 years old,
18,https://ringgitplus.com/en/personal-loan/HSBC-Amanah-Personal-Financing-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_HSBC.png,hsbc,hsbc_amanah_personal_financing-i,Unsecured Islamic Financing,"{""RM6,000 - RM250,000"": [""24 to 84 months"", ""min. RM36,000"", ""4.88% p.a.""], ""RM50,000 - RM250,000"": [""24 to 84 months"", ""min. RM36,000"", ""7.5% p.a.""], ""RM6,000 - RM120,000"": [""24 to 60 months"", ""min. RM60,000"", ""10.5% p.a.""]}",5000.0,Any nationality | Permanent Residents,21 to 60 years old,
19,https://ringgitplus.com/en/personal-loan/Hong-Leong-Islamic-Personal-Financing-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_HLBK.png,hong_leong_bank,hong_leong_islamic_personal_financing-i,Unsecured Islamic Financing,"{""RM5,000 - RM150,000"": [""24 to 60 months"", ""min. RM24,000"", ""9% p.a. - 12.5% p.a.""]}",2000.0,Malaysians | Salaried employee | Self-employed,21 to 60 years old,
20,https://ringgitplus.com/en/personal-loan/Hong-Leong-Personal-Loan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_HLBK.png,hong_leong_bank,hong_leong_personal_loan,Unsecured Loan,"{""RM5,000 - RM150,000"": [""24 to 60 months"", ""min. RM24,000"", ""9% p.a. - 12.5% p.a.""]}",2000.0,Malaysians,21 to 60 years old,
21,https://ringgitplus.com/en/personal-loan/IVC-Personal-Loan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_IVCL.png,icon_venture,ivc_personal_loan,Unsecured Loan,"{""RM10,000 - RM2,000,000"": [""12 to 60 months"", ""RM -"", ""18% p.a.""]}",3000.0,Malaysians | Klang Valley only | Salaried employee | Self-employed,18 to 60 years old,
22,https://ringgitplus.com/en/personal-loan/JCL-Personal-Loan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_JCLS.png,jcl,jcl_personal_loan,Unsecured Loan,"{""RM1,000 - RM50,000"": [""12 to 60 months"", ""min. RM12,000"", ""18% p.a.""]}",1000.0,Malaysians | Klang Valley and Penang,18 to 60 years old,
23,https://ringgitplus.com/en/personal-loan/KFH-Murabahah-Personal-Financing-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_KFH.png,kfh,kfh_murabahah_personal_financing-i,Unsecured Islamic Financing,"{""RM5,000 - RM150,000"": [""24 to 96 months"", ""min. RM36,000"", ""6.88% p.a.""]}",3000.0,Malaysians | Confirmed and Permanent Staff | Salaried employee | Public Listed Company employee | Multi-National Corporation employee | Government-Linked Company employee,21 to 60 years old,
24,https://ringgitplus.com/en/personal-loan/Maybank-Islamic-Personal-Financing-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_MAYB.png,maybank,maybank_islamic_personal_financing-i,Unsecured Islamic Financing,"{""RM5,000 - RM20,000"": [""24 to 72 months"", ""min. RM42,000"", ""8% p.a.""], ""RM20,001 - RM50,000"": [""24 to 72 months"", ""min. RM42,000"", ""7% p.a.""], ""RM50,001 - RM100,000"": [""24 to 72 months"", ""min. RM42,000"", ""6.5% p.a.""]}",3500.0,Malaysians,21 to 60 years old,
25,https://ringgitplus.com/en/personal-loan/Maybank-Personal-Loan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_MAYB.png,maybank,maybank_personal_loan,Unsecured Loan,"{""RM5,000 - RM20,000"": [""24 to 72 months"", ""min. RM42,000"", ""8% p.a.""], ""RM20,001 - RM50,000"": [""24 to 72 months"", ""min. RM42,000"", ""7% p.a.""], ""RM50,001 - RM100,000"": [""24 to 72 months"", ""min. RM42,000"", ""6.5% p.a.""]}",3500.0,Malaysians,21 to 60 years old,
26,https://ringgitplus.com/en/personal-loan/RHB-Personal-Financing.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_RHBK.png,rhb,rhb_personal_financing,Unsecured Loan,"{""RM2,000 - RM10,000"": [""12 to 60 months"", ""min. RM24,000"", ""13.47% p.a.""], ""RM11,000 - RM15,000"": [""12 to 60 months"", ""min. RM24,000"", ""13.47% p.a.""], ""RM16,000 - RM50,000"": [""12 to 80 months"", ""min. RM24,000"", ""11.74% p.a.""], ""RM51,000 - RM99,000"": [""12 to 80 months"", ""min. RM24,000"", ""10.02% p.a.""], ""RM100,000 - RM150,000"": [""12 to 80 months"", ""min. RM24,000"", ""8.31% p.a.""]}",2000.0,Malaysians,21 to 60 years old,
27,https://ringgitplus.com/en/personal-loan/Standard-Chartered-CashOne.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_SCBK.png,standard_chartered,standard_chartered_cashone,Unsecured Loan,"{""RM3,000 - RM250,000"": [""12 to 60 months"", ""min. RM36,000"", ""5.5% p.a.""]}",3000.0,Malaysians,21 to 65 years old,
28,https://ringgitplus.com/en/personal-loan/Standard-Chartered-CashOne-Debt-Consolidation-Plan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_SCBK.png,standard_chartered,standard_chartered_cashone_debt_consolidation_plan,Unsecured Loan,"{""RM3,000 - RM250,000"": [""12 to 84 months"", ""min. RM36,000"", ""5.5% p.a.""]}",3000.0,Malaysians | Salaried employee,21 to 60 years old,
29,https://ringgitplus.com/en/personal-loan/Standard-Chartered-Personal-Financing-i.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_SCBK.png,standard_chartered,standard_chartered_personal_financing-i,Unsecured Islamic Financing,"{""RM3,000 - RM250,000"": [""12 to 60 months"", ""min. RM36,000"", ""5.45% p.a.""]}",3000.0,Malaysians,21 to 65 years old,
30,https://ringgitplus.com/en/personal-loan/Standard-Chartered-Quick-Cash-EDGE.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_SCBK.png,standard_chartered,standard_chartered_quick_cash_edge,Unsecured Loan,"{""RM3,000 - RM250,000"": [""12 to 60 months"", ""min. RM36,000"", ""5.5% p.a.""]}",3000.0,Malaysians,21 to 65 years old,
31,https://ringgitplus.com/en/personal-loan/UOB-Personal-Loan.html,https://ringgitplus.com/assets/cache_171219/issuers/logo_UOBK.png,uob,uob_personal_loan,Unsecured Loan,"{""RM5,000 - RM100,000"": [""12 to 60 months"", ""RM24,000 to RM47,988"", ""11.99% p.a.""]}",2000.0,Malaysians | Permanent Residents | Salaried employee | Self-employed,21 to 55 years old,
